paper_id,paper,year,venue,task,representation,granulation,split_criterion,merge_criterion,stop_criterion,uncertainty,decision,downstream,dataset,noise,baseline,main_gain,code,author_weakness,suspected_weakness,evidence_level,source_url,notes
P0050,Conflict Analysis Based on Three-Way Decision Theoretic Fuzzy Rough Set over Two Universes,2020,Ingénierie des systèmes d information,decision analysis,rough-set approximation; fuzzy granule,fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; fuzzy membership,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.18280/isi.250110,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0051,A Three-Way Decision Approach Combining Probabilistic and Decision-Theoretic Rough Set,2022,2022 IEEE/ACIS 22nd International Conference on Computer and Information Science (ICIS),decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; probabilistic,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/icis54925.2022.9882483,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0052,Linguistic Z Number Fuzzy Probabilistic Rough Set and Their Corresponding Three-Way Decisions,2024,Studies in Fuzziness and Soft Computing,decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; probabilistic,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-65854-9_1,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0053,An Ensemble Method for Constructing Three-Way Decision Rules with Granular Rough Sets,2026,Lecture Notes in Computer Science,decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-032-30228-1_26,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0054,Two-Direction Dynamic Three-Way Decision Algorithm Based on PS-Rough Set,2019,2019 IEEE 14th International Conference on Intelligent Systems and Knowledge Engineering (ISKE),decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; probabilistic,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/iske47853.2019.9170358,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0055,Weighted granular-ball rough sets: A granular learning framework for robust feature selection and fault diagnosis,2026,Pattern Recognition,feature selection,granular ball; rough-set approximation,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.patcog.2026.114416,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0056,Structure-aware granular ball clustering,2026,Information Sciences,clustering,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,cluster assignment,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ins.2026.123224,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0057,"The Shadowed Set, Intuitionistic Fuzzy Set and their Three-way Decision",2022,Journal of Mathematics and Informatics,decision analysis,shadowed set,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.22457/jmi.v22a02206,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0058,Natural granular-ball anomaly detection,2026,Applied Soft Computing,anomaly/outlier detection,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.asoc.2026.115147,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0059,Detecting anomalies with granular-ball fuzzy rough sets,2024,Information Sciences,not reported in metadata/abstract,granular ball; rough-set approximation; fuzzy granule,granular-ball generation; fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,fuzzy membership,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ins.2024.121016,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0060,Online group streaming feature selection based on fuzzy neighborhood granular ball rough sets,2024,Expert Systems with Applications,feature selection; stream/online learning,granular ball; rough-set approximation,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.eswa.2024.123778,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0061,Fuzzy neighborhood based variable-precision granular-ball rough sets with applications to feature selection,2025,Fuzzy Sets and Systems,feature selection,granular ball; rough-set approximation,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.fss.2025.109382,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0062,Semi-overlap Functions Based Granular Ball Fuzzy Rough Sets for Feature Selection and Anomaly Detection,2026,International Journal of Approximate Reasoning,feature selection; anomaly/outlier detection,granular ball; rough-set approximation; fuzzy granule,granular-ball generation; fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,fuzzy membership,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ijar.2026.109807,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0063,Structure-aware granular-ball hypergraph learning,2026,Engineering Applications of Artificial Intelligence,graph learning,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.engappai.2026.115428,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0064,A novel granular ball computing-based fuzzy rough set for feature selection in label distribution learning,2023,Knowledge-Based Systems,feature selection,granular ball; rough-set approximation; fuzzy granule,granular-ball generation; fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,fuzzy membership,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.knosys.2023.110898,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0065,A novel variable-precision granular-ball fuzzy rough set and its application in feature subset selection,2025,Applied Soft Computing,not reported in metadata/abstract,granular ball; rough-set approximation; fuzzy granule,granular-ball generation; fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,fuzzy membership,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.asoc.2025.113597,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0066,Accelerated Feature Selection Based on Granular-Ball Rough Sets,2025,Lecture Notes in Computer Science,feature selection,granular ball; rough-set approximation,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-92744-7_16,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0067,A review of sequential three-way decision and multi-granularity learning,2023,International Journal of Approximate Reasoning,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ijar.2022.11.007,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0068,Granular Sequential Three-Way Decision for Specific Decision Classes,2025,IEEE Transactions on Fuzzy Systems,classification; feature selection; decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject; classification decision; ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tfuzz.2025.3529459,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0069,Three-way decisions with probabilistic rough sets,2010,Information Sciences,decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; probabilistic,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ins.2009.09.021,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0070,Rough Sets and Three-Way Decisions,2015,Lecture Notes in Computer Science,decision analysis,rough-set approximation; shadowed set,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; probabilistic,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1007/978-3-319-25754-9_6,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0071,Granular-Ball Regeneration Clustering With Principle of Justifiable Granularity,2025,IEEE Transactions on Neural Networks and Learning Systems,classification; clustering,granular ball,granular-ball generation,purity,not reported in metadata/abstract,not reported in metadata/abstract,purity proxy,classification decision; cluster assignment,kNN,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tnnls.2025.3579376,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0072,Three-Way Decisions Using Rough Sets,2012,Advanced Information and Knowledge Processing,decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-1-4471-2760-4_5,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0073,Three-way decisions based on covering rough set,2015,Journal of Intelligent &amp; Fuzzy Systems,decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.3233/ifs-151887,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0074,GBNOD: Granular-ball neighborhood outlier detection,2026,Neurocomputing,anomaly/outlier detection,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,outliers,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.neucom.2025.132429,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0075,GBFRS: Robust Fuzzy Rough Sets via Granular Ball Computing,2026,IEEE Transactions on Neural Networks and Learning Systems,classification; feature selection,granular ball; rough-set approximation; fuzzy granule,granular-ball generation; fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,fuzzy membership,classification decision; ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tnnls.2026.3681370,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0076,Skeleton Granular Ball Spectral Clustering Method,2026,Lecture Notes in Computer Science,clustering,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,cluster assignment,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-981-92-2494-4_23,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0077,Neighborhood rough set-based three-way clustering considering attribute correlations: An approach to classification of potential gout groups,2020,Information Sciences,classification; clustering; feature selection; decision analysis,rough-set neighborhood; rough-set approximation,neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; probabilistic,classification decision; ranking/selection; cluster assignment,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.ins.2020.05.039,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0078,CS3W-GBG: A Cost-Sensitive Three-Way Granular-Ball Generation Method,2025,IEEE Transactions on Fuzzy Systems,classification; decision analysis,granular ball; rough-set approximation; fuzzy granule,granular-ball generation; fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject; classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tfuzz.2025.3596066,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0079,Three-way granular-ball clustering based on density peaks,2025,International Symposium on Artificial Intelligence Innovations (IS-AII 2025),classification; clustering; decision analysis,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject; classification decision; cluster assignment,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1117/12.3074444,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0080,Prediction of hydrological and water quality data based on granular-ball rough set and k-nearest neighbor analysis,2024,PLOS ONE,not reported in metadata/abstract,granular ball; rough-set approximation,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,kNN,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1371/journal.pone.0298664,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0081,A novel mixed-attribute data anomaly detection method based on granular-ball multi-kernel fuzzy rough sets,2025,Neurocomputing,anomaly/outlier detection,granular ball; rough-set approximation; fuzzy granule,granular-ball generation; fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,fuzzy membership,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.neucom.2025.131486,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0082,A novel covering rough set model based on granular-ball computing for data with label noise,2025,International Journal of Approximate Reasoning,not reported in metadata/abstract,granular ball; rough-set approximation,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,label noise,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ijar.2025.109420,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0083,Rapid attribute and scale selection with adaptive three-way sampling and neighborhood rough set,2025,Applied Soft Computing,not reported in metadata/abstract,rough-set neighborhood; rough-set approximation,neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.asoc.2025.113966,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0084,Comfort Index Reduction Method of High-speed Rail Based on Fisher Score and Granular Ball Rough Set,2023,2023 3rd International Conference on Digital Society and Intelligent Systems (DSInS),classification; feature selection,granular ball; rough-set neighborhood; rough-set approximation,granular-ball generation; neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision; ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/dsins60115.2023.10455437,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0085,AGBWTDRS-EM: Multi-criteria decision-making approach using adaptive granular-ball weighted temporal rough set and ensemble learning,2026,Journal of the Operational Research Society,decision analysis,granular ball; rough-set approximation,granular-ball generation; adaptive/dynamic,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1080/01605682.2026.2668095,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0086,Generation of Granular-Balls for Clustering Based on the Principle of Justifiable Granularity,2025,IEEE Transactions on Cybernetics,clustering; anomaly/outlier detection,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,cluster assignment,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tcyb.2025.3534195,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0087,Multi-granularity Knowledge Fusion for Feature Selection Using Granular-ball Entropy Uncertainty Measures,2026,International Journal of Approximate Reasoning,feature selection,granular ball,granular-ball generation,entropy/information,not reported in metadata/abstract,not reported in metadata/abstract,entropy,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ijar.2025.109590,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0088,Multi-Granularity Graph Contrastive Learning Framework via Granular-Ball on Heterogeneous Graphs,2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,stream/online learning,granular ball; graph,granular-ball generation; adaptive/dynamic,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tpami.2026.3720194,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0089,Tri-Training with Granular-Ball in Weighted Fuzzy Rough Sets,2025,Lecture Notes in Computer Science,not reported in metadata/abstract,granular ball; rough-set approximation; fuzzy granule,granular-ball generation; fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,fuzzy membership,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-92747-8_14,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0090,Relevance-Granular Ball Neighbor Rough Sets Method for Accurate Sepsis Prognosis,2024,,not reported in metadata/abstract,granular ball; rough-set approximation,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.2139/ssrn.4992642,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0091,Exploring multi-granularity balance strategy for class incremental learning via three-way granular computing,2025,Brain Informatics,classification; stream/online learning,points/objects or not reported,not reported in metadata/abstract,entropy/information,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; entropy,classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1186/s40708-025-00255-0,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0092,Distance metric learning-based multi-granularity neighborhood rough sets for attribute reduction,2024,Applied Soft Computing,feature selection,rough-set neighborhood; rough-set approximation,neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.asoc.2024.111656,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0093,Hybrid Neighborhood Rough Set via Consistency Sample Selection for Multi-granularity Interpretable Modeling,2026,Lecture Notes in Computer Science,not reported in metadata/abstract,rough-set neighborhood; rough-set approximation,neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-032-30228-1_4,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0094,Hierarchical sequential three-way decision model,2022,International Journal of Approximate Reasoning,decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.ijar.2021.10.004,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0095,Three sequential multi-class three-way decision models,2020,Information Sciences,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.ins.2020.05.079,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0096,An Adaptive Multi-Granularity Graph Representation of Image via Granular-ball Computing,2025,IEEE Transactions on Image Processing,classification; graph learning; decision analysis,granular ball; graph,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision,neural network; graph neural network,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tip.2025.3565212,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0097,Accelerated multi-granularity reduction based on neighborhood rough sets,2022,Applied Intelligence,not reported in metadata/abstract,rough-set neighborhood; rough-set approximation,neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/s10489-022-03371-0,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0098,Three-Way Approximations Fusion With Granular-Ball Computing to Guide Multigranularity Fuzzy Entropy for Feature Selection,2024,IEEE Transactions on Fuzzy Systems,feature selection,granular ball; rough-set approximation; fuzzy granule,granular-ball generation; fuzzy,entropy/information,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; fuzzy membership; entropy,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tfuzz.2024.3436086,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
